date,merchant,amount,description
2025-01-01,Starbucks,6.45,Coffee
2025-01-02,Uber,22.10,Ride to airport
2025-01-03,Netflix,15.99,Monthly subscription
2025-01-04,Whole Foods,124.50,Groceries
2025-01-05,Shell Gas,45.30,Fuel
2025-01-06,Amazon,89.99,Electronics purchase
2025-01-07,Spotify,9.99,Music subscription
2025-01-08,Target,56.75,Household items
2025-01-09,Apple Store,199.00,New headphones
2025-01-10,McDonald's,8.25,Lunch
2026-01-11,Dunkin',4.50,Donut and coffee
2026-01-12,Airbnb,250.00,Weekend getaway
2026-01-20,Costco,78.20,Bulk groceries